ZIP Name,Last MAME version tested,Game Flags,Additional Notes
177,,0,
1942,,0,
4thunit,,0,
aressha,,0,
advfant,,0,
advfantd,,0,
alpha,,0,
amtruck,,0,
aokiooka,,0,
arcus,,0,
argo,,0,
arion,,0,
aspicsp,,0,
aztec,,0,
batlcity,,0,
blckonyx,,0,
bokensha,,0,
bosco,,0,
bbreaker,,0,
carmine,,0,
chackn,,0,
cprowsp,,0,
crimson,,0,
crimsona,,0,
blassty,,0,
dside,,0,
daisenr,,0,
daisenra,,0,
daiva,,0,
daivaa,,0,
dezeniwl,,0,
diablo,,0,
megamit,,0,
megamitb,,0,
megamita,,0,
dbuster,,0,
euphory,,0,
exoa2,,0,
fantsian,,0,
murdclub,,0,
fzone,,0,
fzonea,,0,
gaiamons,,0,
gaiflame,,0,
galforce,,0,
gambler,,1,
gambler2,,1,
gamma5,,0,
gandhara,,0,
goonies,,0,
gradius,,0,
gradiusa,,0,
gradiusb,,0,
gradiusk,,0,
gruppe,,0,
hajafuin,,0,
herzog,,0,
hokuto,,0,
hfox,,0,
hfoxa,,0,
hfox2,,0,
hydlide,,0,
hydlidea,,0,
hydlide2,,0,
hydlide2a,,0,
hydlide2b,,0,
hydlide3,,0,
hydlide3a,,0,
hydlide3b,,0,
jesus,,0,
jesusd,,0,
legkage,,0,
karuizaw,,0,
kingkngt,,0,
powermj,,0,
kugyokud,,0,
kugyokuda,,0,
lagrange,,0,
laplace,,0,
lasvegas,,0,
lastarmg,,0,
ldrun,,0,
lostpow,,0,
lunacity,,0,
lupin,,0,
luxsor,,0,
mule,,0,
mulea,,0,
mjkyojs,,0,
maidum,,0,
maiduma,,0,
mikkoku,,0,
mikkokuk,,0,
majavent,,0,
makaifuk,,0,
manilove,,0,
manhatrq,,0,
mappy,,0,
mightmag,,0,
mrproy88,,0,
mugen2,,0,
valis,,0,
nobunaga,,0,
nobuseng,,0,
nobuzenk,,0,
ojibinbm,,0,
ojibinbma,,0,
ojibinbmb,,0,
orbit3,,0,
outroyd,,0,
outroyda,,0,
phantas,,0,
profmj,,0,
psyoblad,,0,
relics,,0,
reviver,,0,
revolty2,,0,
riglas,,0,
robowres,,0,
romancia,,0,
romanciaa,,0,
sangoku2,,0,
sangoku2a,,0,
screamer,,0,
seijoden,,0,
seijodena,,0,
seijopan,,0,
seijopana,,0,
shanghai,,0,
shanghaia,,0,
skugyokd,,0,
shintake,,0,
sofia,,0,
silvergh,,0,
sorcer,,0,
sorcera,,0,
gilgasor,,0,
sorcerexp4,,0,
sorcerexp,,0,
sorcerexp2,,0,
sorcerexp3,,0,
sorcersel1,,0,
sorcersel2,,0,
sorcersel3,,0,
sorcersel4,,0,
sorcersel5,,0,
sorcerutil,,0,
sorcerutila,,0,
sorcermd,,0,
sharrier,,0,
sharriera,,0,
spchange,,0,
spyvsspy,,0,
scruiser,,0,
suikoden,,0,
slaydock,,0,
slaydocka,,0,
slaydocm,,0,
